name,score,price,rank
Intel Xeon E5-2670 v2 @ 2.50GHz,"11,090",$144.99,256
Intel Core i7-9700T @ 2.00GHz,"11,054",$323.00*,257
Intel Xeon E5-2663 v3 @ 2.80GHz,"11,037",NA,258
Intel Core i7-9700TE @ 1.80GHz,"10,954",$323.00*,259
Intel Xeon D-1557 @ 1.50GHz,"10,951",$694.00*,260
Intel Xeon D-1541 @ 2.10GHz,"10,929",NA,261
Intel Core i5-9600 @ 3.10GHz,"10,919",$332.81*,262
Intel Core i5-9600KF @ 3.70GHz,"10,919",$194.99,263
Intel Xeon E5-2692 v2 @ 2.20GHz,"10,910",NA,264
Intel Core i5-9600K @ 3.70GHz,"10,872",$199.69,265
Intel Xeon Gold 5122 @ 3.60GHz,"10,863","$1,269.99",266
Intel Xeon E5-2643 v3 @ 3.40GHz,"10,860",$249.99,267
Intel Xeon Silver 4109T @ 2.00GHz,"10,848",$501.00*,268
Intel Xeon E-2226G @ 3.40GHz,"10,803",$260.00*,269
Intel Xeon E5-2648L v4 @ 1.80GHz,"10,765",NA,270
AMD Ryzen 5 PRO 1600,"10,758",NA,271
Intel Xeon E5-4669 v4 @ 2.20GHz,"10,742",NA,272
Intel Core i7-8700T @ 2.40GHz,"10,742",$399.00,273
Intel Xeon D-1540 @ 2.00GHz,"10,741",NA,274
Intel Xeon Silver 4110 @ 2.10GHz,"10,721",$459.00,275
Intel Xeon E5-4620 v3 @ 2.00GHz,"10,681","$1,668.00*",276
Intel Xeon D-1548 @ 2.00GHz,"10,680",$555.00*,277
Intel Core i7-8850H @ 2.60GHz,"10,660",$395.00*,278
Intel Xeon E5-1660 v2 @ 3.70GHz,"10,654",$607.99*,279
Intel Xeon E-2176M @ 2.70GHz,"10,631",$450.00*,280
Intel Xeon E5-4657L v2 @ 2.40GHz,"10,578","$1,399.00*",281
Intel Xeon E5-2643 v4 @ 3.40GHz,"10,568","$2,019.95*",282
Intel Core i7-5930K @ 3.50GHz,"10,524",$264.99,283
Intel Core i5-9500F @ 3.00GHz,"10,474",$202.00*,284
Intel Xeon E5-2640 v3 @ 2.60GHz,"10,420",$69.98,285
Intel Core i7-10710U @ 1.10GHz,"10,418",$598.94,286
Intel Xeon @ 2.00GHz,"10,404",NA,287
Intel Xeon E-2244G @ 3.80GHz,"10,387",$272.00*,288
Intel Xeon E5-1650 v3 @ 3.50GHz,"10,379",$110.86,289
Intel Core i7-6800K @ 3.40GHz,"10,346",$385.99,290
Intel Xeon E5-2628L v4 @ 1.90GHz,"10,329","$1,364.00*",291
Intel Core i7-8750H @ 2.20GHz,"10,296",$395.00*,292
Intel Xeon E5-2650L v3 @ 1.80GHz,"10,295",$232.22*,293
AMD EPYC 3201,"10,220",NA,294
Intel Core i5-8600K @ 3.60GHz,"10,195",$248.00,295
Intel Xeon E5-2630L v4 @ 1.80GHz,"10,128",NA,296
Intel Xeon E-2274G @ 4.00GHz,"10,091",$334.00*,297
Intel Core i5-8600 @ 3.10GHz,"10,058",$332.85*,298
Intel Xeon E5-2689 @ 2.60GHz,"9,977",NA,299
Intel Xeon E5-2690 @ 2.90GHz,"9,970",$74.51,300
Intel Xeon E-2174G @ 3.80GHz,"9,960",$394.99,301
Intel Xeon E5-2650 v2 @ 2.60GHz,"9,937",$73.90,302
Intel Xeon Silver 4108 @ 1.80GHz,"9,867",$439.99,303
Intel Xeon E5-2660 v2 @ 2.20GHz,"9,863",$129.00*,304
AMD Ryzen 5 PRO 1500,"9,809",NA,305
Intel Core i7-5820K @ 3.30GHz,"9,805",$225.10,306
Intel Core i7-7700K @ 4.20GHz,"9,779",$442.23,307
Intel Xeon E5-4640 v3 @ 1.90GHz,"9,752",NA,308
Intel Core i5-8500B @ 3.00GHz,"9,697",$192.00*,309
Intel Core i5-9500 @ 3.00GHz,"9,692",$218.61,310
AMD Ryzen 5 2500X,"9,690",NA,311
Intel Xeon E5-2630 v3 @ 2.40GHz,"9,662",$90.10,312
Intel Core i5-9400F @ 2.90GHz,"9,639",$149.14,313
Intel Xeon E-2144G @ 3.60GHz,"9,632",$338.28*,314
Intel Xeon E5-2618L v3 @ 2.30GHz,"9,602",NA,315
Intel Core i7-4930K @ 3.40GHz,"9,586",$799.97*,316
Intel Core i7-7740X @ 4.30GHz,"9,585",$440.00*,317
Intel Core i5-9600T @ 2.30GHz,"9,513",$213.00*,318
Intel Core i5-10300H @ 2.50GHz,"9,501",NA,319
Intel Xeon E5-2670 @ 2.60GHz,"9,496",$109.00,320
Intel Core i7-4960X @ 3.60GHz,"9,473",$769.99*,321
Intel Core i5-9400 @ 2.90GHz,"9,444",$168.15,322
Intel Xeon E5-2680 @ 2.70GHz,"9,441",$61.48,323
AMD Ryzen 5 3400G,"9,429",$249.99,324
Intel Core i5-8500 @ 3.00GHz,"9,421",$187.00,325
Intel Xeon E5-2628L v3 @ 2.00GHz,"9,354",NA,326
Intel Xeon E5-2697 v2 @ 2.70GHz,"9,338",$298.99,327
Intel Xeon E3-1285 v6 @ 4.10GHz,"9,313",$998.95,328
Intel Core i5-8400 @ 2.80GHz,"9,277",$179.99,329
Intel Core i7-9850HL @ 1.90GHz,"9,216",$395.00*,330
AMD Opteron 6348,"9,151",$296.20,331
Intel Core i7-1065G7 @ 1.30GHz,"9,110",NA,332
Intel Core i5-8600T @ 2.30GHz,"9,088",$366.99*,333
Intel Core i7-6700K @ 4.00GHz,"9,087",$290.00*,334
Intel Xeon E5-4655 v3 @ 2.90GHz,"9,077","$4,616.00*",335
Intel Xeon E3-1280 v6 @ 3.90GHz,"9,076",$442.93,336
Intel Xeon W-2123 @ 3.60GHz,"9,064",$312.99,337
Intel Xeon E5-2643 v2 @ 3.50GHz,"8,990",$230.57,338
AMD Ryzen 5 1500X,"8,982",$178.86,339
AMD Ryzen 5 PRO 3400G,"8,919",NA,340
AMD Ryzen 5 2400G,"8,912",$358.00,341
Intel Core i5-3170K @ 3.20GHz,"8,882",NA,342
Intel Xeon W-2223 @ 3.60GHz,"8,853",$297.00*,343
Intel Xeon E-2134 @ 3.50GHz,"8,843",$270.99,344
Intel Xeon E5-2658 v2 @ 2.40GHz,"8,837",$179.99*,345
Intel Core i7-8809G @ 3.10GHz,"8,827",NA,346
Intel Xeon E5-1650 v2 @ 3.50GHz,"8,764",$110.42,347
Intel Core i5-1035G7 @ 1.20GHz,"8,744",$320.00*,348
Intel Xeon E3-1270 v6 @ 3.80GHz,"8,732",$388.92,349
Intel Xeon D-1531 @ 2.20GHz,"8,691",$348.00*,350
Intel Xeon D-1559 @ 1.50GHz,"8,687",NA,351
Intel Core i7-3960X @ 3.30GHz,"8,647",$809.99*,352
Intel Core i7-7700 @ 3.60GHz,"8,642",$359.99,353
Intel Xeon E3-1535M v6 @ 3.10GHz,"8,623",$623.00*,354
Intel Xeon E5-4627 v2 @ 3.30GHz,"8,608",$508.95*,355
AMD Ryzen 5 PRO 2400G,"8,584",NA,356
Intel Core i7-3970X @ 3.50GHz,"8,574",$689.99*,357
AMD Ryzen 5 3400GE,"8,565",NA,358
Intel Xeon E3-1275 v6 @ 3.80GHz,"8,564",$799.95,359
Intel Core i5-1035G4 @ 1.10GHz,"8,542",$309.00*,360
Intel Xeon E5-1660 @ 3.30GHz,"8,531","$1,226.66*",361
Intel Xeon E5-2665 @ 2.40GHz,"8,523",$64.99,362
Intel Xeon E5-2629 v3 @ 2.40GHz,"8,520",NA,363
Intel Xeon E5-4648 v3 @ 1.70GHz,"8,519",NA,364
Intel Xeon E3-1585 v5 @ 3.50GHz,"8,509",$556.00*,365
Intel Core i7-8559U @ 2.70GHz,"8,505",$899.99*,366
Intel Xeon E5-2637 v4 @ 3.50GHz,"8,491","$1,049.00*",367
Intel Core i5-8400H @ 2.50GHz,"8,486",$250.00*,368
Intel Xeon Silver 4112 @ 2.60GHz,"8,472",$518.99,369
AMD Ryzen 7 3750H,"8,472",NA,370
Intel Core i5-9400H @ 2.50GHz,"8,464",$250.00*,371
Intel Xeon D-1537 @ 1.70GHz,"8,445",$571.00*,372
Intel Xeon D-1539 @ 1.60GHz,"8,444",$486.00*,373
Intel Xeon E3-1270 v5 @ 3.60GHz,"8,404",$435.90*,374
Intel Core i5-8259U @ 2.30GHz,"8,394",$629.00,375
AMD Ryzen 5 PRO 3400GE,"8,371",NA,376
AMD Ryzen 3 4300U,"8,364",NA,377
Intel Xeon E3-1240 v5 @ 3.50GHz,"8,320",$341.67*,378
Intel Xeon E3-1245 v5 @ 3.50GHz,"8,300",$345.31*,379
Intel Xeon E3-1275 v5 @ 3.60GHz,"8,288",$360.00*,380
Intel Core i5-8257U @ 1.40GHz,"8,246",$320.00*,381
Intel Core i5-8500T @ 2.10GHz,"8,238",$234.36*,382
Intel Xeon E5-4650L @ 2.60GHz,"8,224",$73.98*,383
Intel Xeon E3-1245 v6 @ 3.70GHz,"8,221",$679.95*,384
Intel Xeon E3-1575M v5 @ 3.00GHz,"8,203","$1,207.00*",385
Intel Xeon E-2224 @ 3.40GHz,"8,202",$198.00*,386
Intel Xeon E3-1585L v5 @ 3.00GHz,"8,173",$445.00*,387
Intel Core i7-8706G @ 3.10GHz,"8,168",NA,388
Intel Xeon E5-1650 @ 3.20GHz,"8,167",$95.10,389
Intel Core i5-9500T @ 2.20GHz,"8,162",$192.00*,390
Intel Xeon E5-2470 v2 @ 2.40GHz,"8,161",$300.99*,391
Intel Core i7-4790K @ 4.00GHz,"8,159",$325.00,392
Intel Core i7-6700 @ 3.40GHz,"8,157",$269.99,393
Intel Xeon E3-1280 v5 @ 3.70GHz,"8,145",$425.00,394
AMD Ryzen 5 3550H,"8,134",NA,395
Intel Xeon E3-1240 v6 @ 3.70GHz,"8,127",$498.95,396
Intel Core i5-9300H @ 2.40GHz,"8,123",$250.00*,397
Intel Xeon D-2123IT @ 2.20GHz,"8,105",$213.00*,398
Intel Core i7-3930K @ 3.20GHz,"8,065",$174.99,399
Intel Xeon E-2224G @ 3.50GHz,"8,056",$218.00*,400
AMD Ryzen 3 2300X,"8,053",$208.99,401
Intel Xeon E-2124G @ 3.40GHz,"8,038",$230.16,402
Intel Xeon E5-2648L v3 @ 1.80GHz,"8,024","$1,560.86*",403
Intel Xeon E3-1515M v5 @ 2.80GHz,"8,013",NA,404
Intel Xeon D-1528 @ 1.90GHz,"8,010",NA,405
